mata_kuliah,query,faiss_time_ms,rerank_time_ms,total_time_ms,faiss_avg_score,rerank_avg_score,faiss_top1,rerank_top1
Algoritma dan Pemrograman,Apa itu Version Control System (VCS) dan jelaskan ...,136.75,-80.32,56.44,0.5717,2.2578,0.6586,2.2578
Algoritma dan Pemrograman,Bagaimana cara menghubungkan Git ke GitHub menggun...,14.1,32.39,46.49,0.6348,5.524,0.69,7.3725
Algoritma dan Pemrograman,"Jelaskan perbedaan antara working directory, stagi...",11.0,31.43,42.43,0.6279,2.7559,0.6619,6.0658
Algoritma dan Pemrograman,"Apa perbedaan repository public, private, dan inte...",9.53,32.01,41.53,0.4775,4.9808,0.5322,5.478
Algoritma dan Pemrograman,Bagaimana cara kerja if-else statement di Python?,11.94,27.37,39.31,0.5082,1.8635,0.5593,3.4259
Algoritma dan Pemrograman,Apa fungsi elif dalam struktur percabangan Python?,14.57,25.49,40.06,0.4793,3.994,0.5562,5.908
Algoritma dan Pemrograman,Jelaskan penggunaan match case di Python,14.77,28.23,43.0,0.4995,4.278,0.5667,6.2604
Algoritma dan Pemrograman,Apa itu ternary operator dan bagaimana cara menggu...,10.15,29.67,39.82,0.5369,2.4702,0.5802,3.6631
Algoritma dan Pemrograman,Bagaimana cara menggunakan for loop dengan range()...,9.89,32.98,42.87,0.6165,4.2708,0.682,6.3869
Algoritma dan Pemrograman,Apa perbedaan for dan while loop di Python?,13.59,34.11,47.7,0.5593,3.3618,0.5805,5.9027
Algoritma dan Pemrograman,Jelaskan fungsi break dan continue dalam perulanga...,12.09,29.72,41.82,0.6016,6.5311,0.6744,7.8999
Algoritma dan Pemrograman,Bagaimana cara membuat function dengan keyword def...,9.09,27.93,37.01,0.4884,3.3229,0.5225,6.1959
Algoritma dan Pemrograman,Jelaskan perbedaan keyword argument dan positional...,9.61,28.79,38.4,0.5018,2.8905,0.5566,2.8905
Algoritma dan Pemrograman,Apa itu *args dan **kwargs dalam function Python?,11.39,29.48,40.87,0.4989,4.2553,0.5724,5.6499
Algoritma dan Pemrograman,Jelaskan konsep fungsi rekursif di Python,12.05,48.73,60.77,0.5394,5.9932,0.5833,7.5692
