mata_kuliah,query,faiss_avg_score,faiss_sigmoid,rerank_avg_score,rerank_sigmoid,rerank_top1,rerank_top1_sigmoid
Algoritma dan Pemrograman,Bagaimana cara menggunakan Git untuk version contr...,0.5924,0.643915627466412,3.96,0.9812934900456455,5.7317,0.9967689118804347
Algoritma dan Pemrograman,Apa perbedaan antara Git dan GitHub?,0.6135,0.6487387853928022,1.5889,0.8304612844858922,2.4793,0.9226778722456767
Algoritma dan Pemrograman,Jelaskan cara membuat repository baru di GitHub,0.6618,0.6596646174940364,5.2895,0.9949810353019852,6.1647,0.997902061623908
Algoritma dan Pemrograman,Bagaimana cara menggunakan if-else di Python?,0.5182,0.6267267698731632,1.8185,0.8603860415709879,2.1991,0.9001686614656913
Algoritma dan Pemrograman,Apa fungsi dari elif dalam struktur kondisi?,0.447,0.609925720776971,5.4612,0.9957695184692058,5.8558,0.9971449306710206
Algoritma dan Pemrograman,Jelaskan konsep nested if dalam pemrograman,0.4749,0.6165428630207559,0.9752,0.7261547538650601,1.9218,0.8723390226375309
Algoritma dan Pemrograman,Bagaimana cara membuat loop for di Python?,0.5218,0.627568570093848,1.3044,0.7865745644919269,1.6656,0.8409883048879876
Algoritma dan Pemrograman,Apa perbedaan antara while dan for loop?,0.5238,0.6280359032238805,1.6003,0.8320603100952325,1.9164,0.8717364488263724
Algoritma dan Pemrograman,Jelaskan penggunaan break dan continue dalam loop,0.657,0.6585861584366448,6.1715,0.9979162495843853,7.5875,0.9994935103242436
Algoritma dan Pemrograman,Bagaimana cara membuat function di Python?,0.4344,0.6069238568851832,3.8599,0.9793646819197953,6.0779,0.9977122588874829
Algoritma dan Pemrograman,Apa itu error handling dengan try-except?,0.4126,0.6017111459108748,0.0,0.5,0.0,0.5
Algoritma dan Pemrograman,Jelaskan penggunaan regular expression di Python,0.5412,0.6320915241388179,4.7272,0.9912264369442341,6.286,0.9981412674757388
Algoritma dan Pemrograman,Apa itu class dan object dalam OOP Python?,0.4601,0.6130378986508168,4.3898,0.9877487452661834,6.1465,0.9978636118867835
Algoritma dan Pemrograman,Bagaimana cara menggunakan constructor di Python?,0.4646,0.6141048550716343,2.763,0.9406433559129851,4.2121,0.9854010628415466
Algoritma dan Pemrograman,Jelaskan konsep inheritance di Python,0.4706,0.6155257585093361,4.1382,0.9842989179660129,6.5109,0.9985150676094238
Algoritma dan Pemrograman,"Apa perbedaan list, tuple, dan dictionary?",0.4071,0.600392309828242,0.0,0.5,0.0,0.5
Algoritma dan Pemrograman,Bagaimana cara menggunakan operator aritmatika?,0.4382,0.6078300432990923,1.7902,0.8569517953534046,2.3972,0.9166135401616754
Algoritma dan Pemrograman,Jelaskan tipe data dasar di Python,0.5085,0.6244547736766732,6.6917,0.9987603676079874,7.0694,0.9991499797470171
Algoritma dan Pemrograman,Apa itu encapsulation dalam OOP?,0.4039,0.5996243153320172,0.0,0.5,0.0,0.5
Algoritma dan Pemrograman,Bagaimana cara menggunakan method dalam class?,0.5372,0.6311608263135683,5.3636,0.9953378244213357,6.2834,0.9981364375009766
Pemrograman Website,Bagaimana cara membuat struktur HTML dasar?,0.408,0.6006082195512744,0.0,0.5,0.0,0.5
Pemrograman Website,Apa perbedaan antara div dan span?,0.4152,0.6023340834160393,0.0,0.5,0.0,0.5
Pemrograman Website,Jelaskan penggunaan CSS untuk styling,0.3824,0.5944518230906499,2.2263,0.9025865241132222,2.897,0.9476979368104104
Pemrograman Website,Bagaimana cara menggunakan Tailwind CSS?,0.4165,0.6026454280086619,0.0,0.5,0.0,0.5
Pemrograman Website,Apa itu responsive design dengan CSS?,0.3253,0.5806153569361162,0.0,0.5,0.0,0.5
Pemrograman Website,Jelaskan konsep flexbox dan grid layout,0.2626,0.5652753216407259,0.0,0.5,0.0,0.5
Pemrograman Website,Bagaimana cara membuat event handler di JavaScript...,0.2888,0.5717023277151565,0.0,0.5,0.0,0.5
Pemrograman Website,Apa itu DOM manipulation?,0.2512,0.5624718397138806,0.0,0.5,0.0,0.5
Pemrograman Website,Jelaskan cara menggunakan getElementById,0.3692,0.5912656560940285,1.3572,0.7953042474793814,1.9486,0.8752939058088106
Pemrograman Website,Bagaimana setup koneksi database dengan PHP?,0.4589,0.6127531931458048,0.0,0.5,0.0,0.5
Pemrograman Website,Apa itu prepared statement di PDO?,0.3387,0.5838747028715099,0.0,0.5,0.0,0.5
Pemrograman Website,Jelaskan cara mencegah SQL injection,0.3922,0.5968121921370214,0.0,0.5,0.0,0.5
Pemrograman Website,Bagaimana cara install Laravel?,0.3047,0.5755910669078057,0.0,0.5,0.0,0.5
Pemrograman Website,Apa itu MVC pattern di Laravel?,0.2,0.549833997312478,0.0,0.5,0.0,0.5
Pemrograman Website,Jelaskan konsep routing di Laravel,0.2494,0.5620288149310285,0.0,0.5,0.0,0.5
Pemrograman Website,Bagaimana cara membuat controller di Laravel?,0.3132,0.5776661520420675,0.0,0.5,0.0,0.5
Pemrograman Website,Apa itu Eloquent ORM?,0.3366,0.5833643866016792,0.0,0.5,0.0,0.5
Pemrograman Website,Jelaskan cara membuat relasi antar tabel,0.4702,0.6154310926164103,0.0,0.5,0.0,0.5
Pemrograman Website,Bagaimana implementasi authentication di Laravel?,0.2905,0.5721185368010874,0.0,0.5,0.0,0.5
Pemrograman Website,Apa fungsi middleware di Laravel?,0.2464,0.5612902207642567,0.6012,0.645930799303427,0.6012,0.645930799303427
Basis Data,Bagaimana cara membuat tabel dengan CREATE TABLE?,0.5729,0.6394320653753452,0.0,0.5,0.0,0.5
Basis Data,Apa perbedaan PRIMARY KEY dan FOREIGN KEY?,0.4889,0.6198472662395542,4.1309,0.9841856999259466,4.1309,0.9841856999259466
Basis Data,Jelaskan penggunaan constraint NOT NULL,0.4038,0.5996003075932823,0.0,0.5,0.0,0.5
Basis Data,Bagaimana cara menggunakan SELECT dengan WHERE?,0.476,0.6168028891971088,1.2675,0.7803144887848326,2.1321,0.893984203598543
Basis Data,Apa fungsi ORDER BY dalam query?,0.378,0.5933906368326937,2.6907,0.9364756367032255,3.8232,0.9786097974902409
Basis Data,Jelaskan penggunaan LIKE untuk pencarian,0.4061,0.6001523643754318,0.8589,0.7024307815980343,1.6949,0.844867471182965
Basis Data,Bagaimana cara menggunakan INSERT INTO?,0.3873,0.5956325606466623,0.4069,0.6003443245881067,0.4069,0.6003443245881067
Basis Data,Apa perbedaan UPDATE dan DELETE?,0.4181,0.6030285072785756,0.0,0.5,0.0,0.5
Basis Data,Jelaskan penggunaan TRUNCATE vs DELETE,0.3815,0.5942348336919535,0.0,0.5,0.0,0.5
Basis Data,Bagaimana cara menggunakan operator AND dan OR?,0.4874,0.6194937478043495,2.4372,0.9196203583427518,5.4459,0.9957045745751678
Basis Data,Apa itu operator BETWEEN dan IN?,0.3931,0.5970287379140686,0.0,0.5,0.0,0.5
