mata_kuliah,query,faiss_time_ms,rerank_time_ms,total_time_ms,faiss_avg_score,rerank_avg_score,faiss_top1,rerank_top1
Algoritma dan Pemrograman,Apa itu Version Control System (VCS) dan jelaskan ...,22.96,150.05,173.01,0.5717,2.2578,0.6586,2.2578
Algoritma dan Pemrograman,Bagaimana cara menghubungkan Git ke GitHub menggun...,14.21,125.11,139.32,0.6348,5.524,0.69,7.3725
Algoritma dan Pemrograman,"Jelaskan perbedaan antara working directory, stagi...",12.09,28.15,40.24,0.6279,2.7559,0.6619,6.0658
Algoritma dan Pemrograman,"Apa perbedaan repository public, private, dan inte...",12.72,30.2,42.92,0.4775,4.9808,0.5322,5.478
Algoritma dan Pemrograman,Bagaimana cara kerja if-else statement di Python?,12.03,34.22,46.26,0.5082,1.8635,0.5593,3.4259
Algoritma dan Pemrograman,Apa fungsi elif dalam struktur percabangan Python?,15.73,25.77,41.5,0.4793,3.994,0.5562,5.908
Algoritma dan Pemrograman,Jelaskan penggunaan match case di Python,13.05,27.87,40.92,0.4995,4.278,0.5667,6.2604
Algoritma dan Pemrograman,Apa itu ternary operator dan bagaimana cara menggu...,12.39,31.34,43.73,0.5369,2.4702,0.5802,3.6631
Algoritma dan Pemrograman,Bagaimana cara menggunakan for loop dengan range()...,13.19,32.28,45.48,0.6165,4.2708,0.682,6.3869
Algoritma dan Pemrograman,Apa perbedaan for dan while loop di Python?,10.05,29.1,39.14,0.5593,3.3618,0.5805,5.9027
Algoritma dan Pemrograman,Jelaskan fungsi break dan continue dalam perulanga...,8.88,31.38,40.26,0.6016,6.5311,0.6744,7.8999
Algoritma dan Pemrograman,Bagaimana cara membuat function dengan keyword def...,14.25,28.38,42.62,0.4884,3.3229,0.5225,6.1959
Algoritma dan Pemrograman,Jelaskan perbedaan keyword argument dan positional...,14.51,23.74,38.26,0.5018,2.8905,0.5566,2.8905
Algoritma dan Pemrograman,Apa itu *args dan **kwargs dalam function Python?,9.88,27.92,37.8,0.4989,4.2553,0.5724,5.6499
Algoritma dan Pemrograman,Jelaskan konsep fungsi rekursif di Python,11.86,25.82,37.68,0.5394,5.9932,0.5833,7.5692
Algoritma dan Pemrograman,Bagaimana cara menggunakan try-except untuk error ...,11.4,26.17,37.57,0.5446,4.2546,0.6044,6.4062
